URI,rdf-schema#label,rdf-schema#comment,assembly_label,assembly,automobilePlatform_label,automobilePlatform,bodyStyle_label,bodyStyle,class_label,class,designCompany_label,designCompany,designer_label,designer,engine_label,engine,fuelCapacity,height,layout_label,layout,length,manufacturer_label,manufacturer,modelEndYear,modelStartYear,parentCompany_label,parentCompany,predecessor_label,predecessor,productionEndDate,productionEndYear,productionStartDate,productionStartYear,relatedMeanOfTransportation_label,relatedMeanOfTransportation,sales_label,sales,successor_label,successor,thumbnail_label,thumbnail,transmission,variantOf_label,variantOf,vehicle_label,vehicle,weight,wheelbase,width,point,22-rdf-syntax-ns#type_label,22-rdf-syntax-ns#type,wgs84_pos#lat,wgs84_pos#long,depiction_label,depiction,name
http://dbpedia.org/resource/Lada_Samara,Lada Samara,The Lada Samara is an economy car produced by Soviet/Russian vehicle manufacturer AvtoVAZ under the Lada brand since 1984. The brand name Samara originally was used only for exported models in Russia the same model was called Sputnik (satellite) until 1991 when the sedan version of Samara entered in production using the export name. The production of Lada Samara will be ended in 2013. However there is no word of the pickup version to be discontinued.,{Finland|Kazakhstan|Montevideo|Oskemen|Russia|Tolyatti|Ukraine|Uruguay|Uusikaupunki|Zaporizhia},{http://dbpedia.org/resource/Finland|http://dbpedia.org/resource/Kazakhstan|http://dbpedia.org/resource/Montevideo|http://dbpedia.org/resource/Oskemen|http://dbpedia.org/resource/Russia|http://dbpedia.org/resource/Tolyatti|http://dbpedia.org/resource/Ukraine|http://dbpedia.org/resource/Uruguay|http://dbpedia.org/resource/Uusikaupunki|http://dbpedia.org/resource/Zaporizhia},NULL,NULL,{Hatchback|Sedan (automobile)},{http://dbpedia.org/resource/Hatchback|http://dbpedia.org/resource/Sedan_(automobile)},Economy car,http://dbpedia.org/resource/Economy_car,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.335,Front-engine front-wheel-drive layout,"http://dbpedia.org/resource/Front-engine,_front-wheel-drive_layout",4.005,Lada,http://dbpedia.org/resource/Lada,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2108-01-01T00:00:00+02:00,NULL,2108-01-01T00:00:00+02:00,NULL,NULL,NULL,NULL,NULL,NULL,200px-Lada_2109_Samara_1300_S_Hanseat_Front.JPG,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Lada_2109_Samara_1300_S_Hanseat_Front.JPG/200px-Lada_2109_Samara_1300_S_Hanseat_Front.JPG,NULL,NULL,NULL,NULL,NULL,NULL,2.46,1.65,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,Lada_2109_Samara_1300_S_Hanseat_Front.JPG,http://upload.wikimedia.org/wikipedia/commons/f/fd/Lada_2109_Samara_1300_S_Hanseat_Front.JPG,{Bognor Sagona (ROU)|Lada Forma (Sedan)|Lada Sagona (Sedan)|Lada Samara|Lada Samara 2|Lada Sputnik|VAZ 2108/2109/21099|VAZ 2113/2114/2115}
http://dbpedia.org/resource/Volkswagen_K%C3%BCbelwagen,Volkswagen Kübelwagen,The Volkswagen Kübelwagen (literally translated as tub truck for its resemblance to a metal bathtub on wheels) was a light military vehicle designed by Ferdinand Porsche and built by Volkswagen during World War II for use by the German military. Based heavily on the Volkswagen Beetle it was prototyped as the Type 62 but eventually became known internally as the Type 82.,Wolfsburg,http://dbpedia.org/resource/Wolfsburg,Volkswagen Beetle,http://dbpedia.org/resource/Volkswagen_Beetle,Roadster (automobile),http://dbpedia.org/resource/Roadster_(automobile),List of military vehicles,http://dbpedia.org/resource/List_of_military_vehicles,NULL,NULL,NULL,NULL,{Volkswagen_K%C3%BCbelwagen__2|Volkswagen_K%C3%BCbelwagen__3},{http://dbpedia.org/resource/Volkswagen_K%C3%BCbelwagen__2|http://dbpedia.org/resource/Volkswagen_K%C3%BCbelwagen__3},NULL,1.65,Rear-engine rear-wheel-drive layout,"http://dbpedia.org/resource/Rear-engine,_rear-wheel-drive_layout",3.74,Volkswagen,http://dbpedia.org/resource/Volkswagen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1945-01-01T00:00:00+02:00,NULL,0050-01-01T00:00:00+02:00,{VW 276 Schlepperfahrzeug|Volkswagen Schwimmwagen},{http://dbpedia.org/resource/VW_276_Schlepperfahrzeug|http://dbpedia.org/resource/Volkswagen_Schwimmwagen},NULL,NULL,Volkswagen 181,http://dbpedia.org/resource/Volkswagen_181,200px-VW_Kuebelwagen_1.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/VW_Kuebelwagen_1.jpg/200px-VW_Kuebelwagen_1.jpg,{4-speed manual;|self-locking differential},NULL,NULL,NULL,NULL,715000.0,2.4,1.6,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,VW_Kuebelwagen_1.jpg,http://upload.wikimedia.org/wikipedia/commons/f/f3/VW_Kuebelwagen_1.jpg,{Safari Bucket/Tub Car|VW type 82 Kübelwagen}
http://dbpedia.org/resource/Volkswagen_Schwimmwagen,Volkswagen Schwimmwagen,The VW Type 128 and 166 Schwimmwagen (literally Floating / Swimming Car) were amphibious four-wheel drive off-roaders used extensively by the German Wehrmacht and the Waffen-SS during the Second World War. The Type 166 is the most numerous mass-produced amphibious car in history.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Volkswagen_Schwimmwagen__2,http://dbpedia.org/resource/Volkswagen_Schwimmwagen__2,NULL,1.615,NULL,NULL,3.825,Volkswagen,http://dbpedia.org/resource/Volkswagen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1944-01-01T00:00:00+02:00,NULL,0014-01-01T00:00:00+02:00,Volkswagen Kübelwagen,http://dbpedia.org/resource/Volkswagen_K%C3%BCbelwagen,NULL,NULL,NULL,NULL,200px-VW_Schwimmwagen_1.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/VW_Schwimmwagen_1.jpg/200px-VW_Schwimmwagen_1.jpg,{2-speed transfer case;|4-speed manual|4WD only on 1st gear / reverse},NULL,NULL,NULL,NULL,910000.0,2.0,1.48,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,VW_Schwimmwagen_1.jpg,http://upload.wikimedia.org/wikipedia/commons/9/98/VW_Schwimmwagen_1.jpg,Volkswagen Type 166 'Schwimmwagen'
http://dbpedia.org/resource/Vauxhall_Viva,Vauxhall Viva,The Viva was a small family car produced by Vauxhall Motors in a succession of three versions between 1963 and 1979. These were known as the HA the HB and the HC series. The Viva appeared a year after Vauxhall's sister company Opel launched the Opel Kadett A: visually the two cars' kinship was obvious. A van version was also produced as the Bedford HA. In the UK the Viva's principal competitors at the time of its launch included the well-established Ford Anglia and Morris Minor.,{Cheshire|Ellesmere Port},{http://dbpedia.org/resource/Cheshire|http://dbpedia.org/resource/Ellesmere_Port},NULL,NULL,NULL,NULL,Compact car,http://dbpedia.org/resource/Compact_car,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Vauxhall Motors,http://dbpedia.org/resource/Vauxhall_Motors,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1979-01-01T00:00:00+02:00,NULL,0001-01-01T00:00:00+02:00,NULL,NULL,NULL,NULL,{Vauxhall Astra|Vauxhall Chevette},{http://dbpedia.org/resource/Vauxhall_Astra|http://dbpedia.org/resource/Vauxhall_Chevette},200px-Vivahc.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Vivahc.jpg/200px-Vivahc.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,Vivahc.jpg,http://upload.wikimedia.org/wikipedia/commons/1/14/Vivahc.jpg,Vauxhall Viva
"http://dbpedia.org/resource/Austin_Princess__Austin_A120-135_Princess_I,_II_and_III__1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Austin_Princess__Austin_A120-135_Princess_I_II_and_III__1__1,"http://dbpedia.org/resource/Austin_Princess__Austin_A120-135_Princess_I,_II_and_III__1__1",NULL,1.778,NULL,NULL,5.461,{Austin Motor Company|British Motor Corporation},{http://dbpedia.org/resource/Austin_Motor_Company|http://dbpedia.org/resource/British_Motor_Corporation},NULL,NULL,NULL,NULL,NULL,NULL,NULL,0001-01-01T00:00:00+02:00,NULL,0001-01-01T00:00:00+02:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Austin Princess,http://dbpedia.org/resource/Austin_Princess,NULL,NULL,NULL,3.3528,1.8796,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,NULL,NULL,Austin A120-135 Princess I II and III
http://dbpedia.org/resource/Austin_Princess__IV_1956-1957_Princess_IV_1957-1959__1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Austin_Princess__IV_1956-1957_Princess_IV_1957-1959__1__1,http://dbpedia.org/resource/Austin_Princess__IV_1956-1957_Princess_IV_1957-1959__1__1,NULL,1.67005,NULL,NULL,5.1054,Vanden Plas,http://dbpedia.org/resource/Vanden_Plas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1959-01-01T00:00:00+02:00,NULL,0200-01-01T00:00:00+02:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4-speed automatic,Austin Princess,http://dbpedia.org/resource/Austin_Princess,NULL,NULL,NULL,3.09245,1.87325,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,NULL,NULL,{Austin Princess IV (1956-1957)|Princess IV (1957-1959)}
http://dbpedia.org/resource/Citro%C3%ABn_Traction_Avant,Citroën Traction Avant,The Citroën Traction Avant is an automobile which was produced by the French manufacturer Citroën from 1934 to 1957. About 760000 units were produced.,{Belgium|Cologne|Copenhagen|Denmark|England|Forest Belgium|France|Germany|Paris|Slough},"{http://dbpedia.org/resource/Belgium|http://dbpedia.org/resource/Cologne|http://dbpedia.org/resource/Copenhagen|http://dbpedia.org/resource/Denmark|http://dbpedia.org/resource/England|http://dbpedia.org/resource/Forest,_Belgium|http://dbpedia.org/resource/France|http://dbpedia.org/resource/Germany|http://dbpedia.org/resource/Paris|http://dbpedia.org/resource/Slough}",NULL,NULL,{Convertible|Coupé|Hatchback|Sedan (automobile)},{http://dbpedia.org/resource/Convertible|http://dbpedia.org/resource/Coup%C3%A9|http://dbpedia.org/resource/Hatchback|http://dbpedia.org/resource/Sedan_(automobile)},{Executive car|Mid-size car},{http://dbpedia.org/resource/Executive_car|http://dbpedia.org/resource/Mid-size_car},{André Lefèbvre|Flaminio Bertoni},{http://dbpedia.org/resource/Andr%C3%A9_Lef%C3%A8bvre|http://dbpedia.org/resource/Flaminio_Bertoni},{André Lefèbvre|Flaminio Bertoni},{http://dbpedia.org/resource/Andr%C3%A9_Lef%C3%A8bvre|http://dbpedia.org/resource/Flaminio_Bertoni},{Citro%C3%ABn_Traction_Avant__1|Citro%C3%ABn_Traction_Avant__2},{http://dbpedia.org/resource/Citro%C3%ABn_Traction_Avant__1|http://dbpedia.org/resource/Citro%C3%ABn_Traction_Avant__2},NULL,NULL,Mid-engine front-wheel-drive layout,"http://dbpedia.org/resource/Mid-engine,_front-wheel-drive_layout",NULL,Citroën,http://dbpedia.org/resource/Citro%C3%ABn,NULL,NULL,NULL,NULL,Citroën Rosalie,http://dbpedia.org/resource/Citro%C3%ABn_Rosalie,NULL,0007-01-01T00:00:00+02:00,NULL,0007-01-01T00:00:00+02:00,NULL,NULL,NULL,NULL,Citroën DS,http://dbpedia.org/resource/Citro%C3%ABn_DS,200px-Tractionfr02.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Tractionfr02.jpg/200px-Tractionfr02.jpg,3-speed manual column/dash shift,NULL,NULL,NULL,NULL,NULL,2.91,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,Tractionfr02.jpg,http://upload.wikimedia.org/wikipedia/commons/4/4b/Tractionfr02.jpg,{Citroën 11CV|Citroën 15CV|Citroën 7CV|Citroën Big Fifteen (UK)|Citroën Big Six (UK)|Citroën Light 15 (UK)|Citroën Traction Avant}
http://dbpedia.org/resource/Honda_NSX__Second_generation__1,NULL,NULL,Marysville Ohio,"http://dbpedia.org/resource/Marysville,_Ohio",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mid-engine design,http://dbpedia.org/resource/Mid-engine_design,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2015-01-01T00:00:00+02:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7-speed dual clutch automatic,Honda NSX,http://dbpedia.org/resource/Honda_NSX,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,NULL,NULL,Second generation
http://dbpedia.org/resource/Lotus_Elan__2013_Elan__1,NULL,NULL,United Kingdom,http://dbpedia.org/resource/United_Kingdom,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Front-engine rear-wheel-drive layout,"http://dbpedia.org/resource/Front-engine,_rear-wheel-drive_layout",NULL,Lotus Cars,http://dbpedia.org/resource/Lotus_Cars,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-01-01T00:00:00+02:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Lotus Elan,http://dbpedia.org/resource/Lotus_Elan,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,NULL,NULL,2013 Elan
http://dbpedia.org/resource/Acura_NSX_(2015),Acura NSX (2015),The Acura NSX is a hybrid-electric supercar and a revival of the original Acura NSX from 1991–2005. The new NSX is set to be released by Honda's Acura luxury division for the 2015 model year.,Marysville Ohio,"http://dbpedia.org/resource/Marysville,_Ohio",NULL,NULL,Coupé,http://dbpedia.org/resource/Coup%C3%A9,Sports car,http://dbpedia.org/resource/Sports_car,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{Automobile layout|Four-wheel drive|Mid-engine design},{http://dbpedia.org/resource/Automobile_layout|http://dbpedia.org/resource/Four-wheel_drive|http://dbpedia.org/resource/Mid-engine_design},NULL,Honda,http://dbpedia.org/resource/Honda,NULL,2015-01-01T00:00:00+02:00,NULL,NULL,Honda NSX,http://dbpedia.org/resource/Honda_NSX,NULL,NULL,NULL,2015-01-01T00:00:00+02:00,NULL,NULL,NULL,NULL,NULL,NULL,200px-Acura_NSX_concept_--_2012_NYIAS.JPG,http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Acura_NSX_concept_--_2012_NYIAS.JPG/200px-Acura_NSX_concept_--_2012_NYIAS.JPG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{automobile|mean of transportation|Product|owl#Thing},{http://dbpedia.org/ontology/Automobile|http://dbpedia.org/ontology/MeanOfTransportation|http://schema.org/Product|http://www.w3.org/2002/07/owl#Thing},NULL,NULL,Acura_NSX_concept_--_2012_NYIAS.JPG,http://upload.wikimedia.org/wikipedia/commons/8/85/Acura_NSX_concept_--_2012_NYIAS.JPG,Acura NSX
